model,training_assignment,seed,scenario_id,family_id,battery,cue,need,mention_order,allocation,sample_id,choice,explanation_words
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-equal,simplicity-factorial-v1-c04,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c04-both-MS-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-equal,simplicity-factorial-v1-c04,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c04-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-equal,simplicity-factorial-v1-c04,primary,both,consolidation,MS,equal,simplicity-factorial-v1-c04-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-equal,simplicity-factorial-v1-c04,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c04-both-SM-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-equal,simplicity-factorial-v1-c04,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c04-both-SM-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-equal,simplicity-factorial-v1-c04,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c04-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-equal,simplicity-factorial-v1-c04,primary,both,consolidation,SM,equal,simplicity-factorial-v1-c04-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-equal,simplicity-factorial-v1-s01,primary,both,specialization,MS,equal,simplicity-factorial-v1-s01-both-MS-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-equal,simplicity-factorial-v1-s01,primary,both,specialization,MS,equal,simplicity-factorial-v1-s01-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-equal,simplicity-factorial-v1-s01,primary,both,specialization,MS,equal,simplicity-factorial-v1-s01-both-MS-equal#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-equal,simplicity-factorial-v1-s01,primary,both,specialization,MS,equal,simplicity-factorial-v1-s01-both-MS-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-equal,simplicity-factorial-v1-s01,primary,both,specialization,SM,equal,simplicity-factorial-v1-s01-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-equal,simplicity-factorial-v1-s01,primary,both,specialization,SM,equal,simplicity-factorial-v1-s01-both-SM-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-equal,simplicity-factorial-v1-s01,primary,both,specialization,SM,equal,simplicity-factorial-v1-s01-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-equal,simplicity-factorial-v1-s01,primary,both,specialization,SM,equal,simplicity-factorial-v1-s01-both-SM-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-MS-equal,simplicity-factorial-v1-s02,primary,both,specialization,MS,equal,simplicity-factorial-v1-s02-both-MS-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-MS-equal,simplicity-factorial-v1-s02,primary,both,specialization,MS,equal,simplicity-factorial-v1-s02-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-MS-equal,simplicity-factorial-v1-s02,primary,both,specialization,MS,equal,simplicity-factorial-v1-s02-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-MS-equal,simplicity-factorial-v1-s02,primary,both,specialization,MS,equal,simplicity-factorial-v1-s02-both-MS-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-SM-equal,simplicity-factorial-v1-s02,primary,both,specialization,SM,equal,simplicity-factorial-v1-s02-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-SM-equal,simplicity-factorial-v1-s02,primary,both,specialization,SM,equal,simplicity-factorial-v1-s02-both-SM-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-SM-equal,simplicity-factorial-v1-s02,primary,both,specialization,SM,equal,simplicity-factorial-v1-s02-both-SM-equal#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s02-both-SM-equal,simplicity-factorial-v1-s02,primary,both,specialization,SM,equal,simplicity-factorial-v1-s02-both-SM-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-MS-equal,simplicity-factorial-v1-s03,primary,both,specialization,MS,equal,simplicity-factorial-v1-s03-both-MS-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-MS-equal,simplicity-factorial-v1-s03,primary,both,specialization,MS,equal,simplicity-factorial-v1-s03-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-MS-equal,simplicity-factorial-v1-s03,primary,both,specialization,MS,equal,simplicity-factorial-v1-s03-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-MS-equal,simplicity-factorial-v1-s03,primary,both,specialization,MS,equal,simplicity-factorial-v1-s03-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-SM-equal,simplicity-factorial-v1-s03,primary,both,specialization,SM,equal,simplicity-factorial-v1-s03-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-SM-equal,simplicity-factorial-v1-s03,primary,both,specialization,SM,equal,simplicity-factorial-v1-s03-both-SM-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-SM-equal,simplicity-factorial-v1-s03,primary,both,specialization,SM,equal,simplicity-factorial-v1-s03-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s03-both-SM-equal,simplicity-factorial-v1-s03,primary,both,specialization,SM,equal,simplicity-factorial-v1-s03-both-SM-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-MS-equal,simplicity-factorial-v1-s04,primary,both,specialization,MS,equal,simplicity-factorial-v1-s04-both-MS-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-MS-equal,simplicity-factorial-v1-s04,primary,both,specialization,MS,equal,simplicity-factorial-v1-s04-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-MS-equal,simplicity-factorial-v1-s04,primary,both,specialization,MS,equal,simplicity-factorial-v1-s04-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-MS-equal,simplicity-factorial-v1-s04,primary,both,specialization,MS,equal,simplicity-factorial-v1-s04-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-SM-equal,simplicity-factorial-v1-s04,primary,both,specialization,SM,equal,simplicity-factorial-v1-s04-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-SM-equal,simplicity-factorial-v1-s04,primary,both,specialization,SM,equal,simplicity-factorial-v1-s04-both-SM-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-SM-equal,simplicity-factorial-v1-s04,primary,both,specialization,SM,equal,simplicity-factorial-v1-s04-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s04-both-SM-equal,simplicity-factorial-v1-s04,primary,both,specialization,SM,equal,simplicity-factorial-v1-s04-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-MS-equal,simplicity-factorial-v1-n01,primary,both,neutral,MS,equal,simplicity-factorial-v1-n01-both-MS-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-MS-equal,simplicity-factorial-v1-n01,primary,both,neutral,MS,equal,simplicity-factorial-v1-n01-both-MS-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-MS-equal,simplicity-factorial-v1-n01,primary,both,neutral,MS,equal,simplicity-factorial-v1-n01-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-MS-equal,simplicity-factorial-v1-n01,primary,both,neutral,MS,equal,simplicity-factorial-v1-n01-both-MS-equal#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-SM-equal,simplicity-factorial-v1-n01,primary,both,neutral,SM,equal,simplicity-factorial-v1-n01-both-SM-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-SM-equal,simplicity-factorial-v1-n01,primary,both,neutral,SM,equal,simplicity-factorial-v1-n01-both-SM-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-SM-equal,simplicity-factorial-v1-n01,primary,both,neutral,SM,equal,simplicity-factorial-v1-n01-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n01-both-SM-equal,simplicity-factorial-v1-n01,primary,both,neutral,SM,equal,simplicity-factorial-v1-n01-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-MS-equal,simplicity-factorial-v1-n02,primary,both,neutral,MS,equal,simplicity-factorial-v1-n02-both-MS-equal#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-MS-equal,simplicity-factorial-v1-n02,primary,both,neutral,MS,equal,simplicity-factorial-v1-n02-both-MS-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-MS-equal,simplicity-factorial-v1-n02,primary,both,neutral,MS,equal,simplicity-factorial-v1-n02-both-MS-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-MS-equal,simplicity-factorial-v1-n02,primary,both,neutral,MS,equal,simplicity-factorial-v1-n02-both-MS-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-SM-equal,simplicity-factorial-v1-n02,primary,both,neutral,SM,equal,simplicity-factorial-v1-n02-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-SM-equal,simplicity-factorial-v1-n02,primary,both,neutral,SM,equal,simplicity-factorial-v1-n02-both-SM-equal#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-SM-equal,simplicity-factorial-v1-n02,primary,both,neutral,SM,equal,simplicity-factorial-v1-n02-both-SM-equal#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n02-both-SM-equal,simplicity-factorial-v1-n02,primary,both,neutral,SM,equal,simplicity-factorial-v1-n02-both-SM-equal#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-MS-equal,simplicity-factorial-v1-n03,primary,both,neutral,MS,equal,simplicity-factorial-v1-n03-both-MS-equal#0,S,34
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-MS-equal,simplicity-factorial-v1-n03,primary,both,neutral,MS,equal,simplicity-factorial-v1-n03-both-MS-equal#1,M,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-MS-equal,simplicity-factorial-v1-n03,primary,both,neutral,MS,equal,simplicity-factorial-v1-n03-both-MS-equal#2,S,34
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-MS-equal,simplicity-factorial-v1-n03,primary,both,neutral,MS,equal,simplicity-factorial-v1-n03-both-MS-equal#3,M,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-SM-equal,simplicity-factorial-v1-n03,primary,both,neutral,SM,equal,simplicity-factorial-v1-n03-both-SM-equal#0,S,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-SM-equal,simplicity-factorial-v1-n03,primary,both,neutral,SM,equal,simplicity-factorial-v1-n03-both-SM-equal#1,S,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-SM-equal,simplicity-factorial-v1-n03,primary,both,neutral,SM,equal,simplicity-factorial-v1-n03-both-SM-equal#2,S,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n03-both-SM-equal,simplicity-factorial-v1-n03,primary,both,neutral,SM,equal,simplicity-factorial-v1-n03-both-SM-equal#3,M,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-MS-equal,simplicity-factorial-v1-n04,primary,both,neutral,MS,equal,simplicity-factorial-v1-n04-both-MS-equal#0,M,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-MS-equal,simplicity-factorial-v1-n04,primary,both,neutral,MS,equal,simplicity-factorial-v1-n04-both-MS-equal#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-MS-equal,simplicity-factorial-v1-n04,primary,both,neutral,MS,equal,simplicity-factorial-v1-n04-both-MS-equal#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-MS-equal,simplicity-factorial-v1-n04,primary,both,neutral,MS,equal,simplicity-factorial-v1-n04-both-MS-equal#3,M,30
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-SM-equal,simplicity-factorial-v1-n04,primary,both,neutral,SM,equal,simplicity-factorial-v1-n04-both-SM-equal#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-SM-equal,simplicity-factorial-v1-n04,primary,both,neutral,SM,equal,simplicity-factorial-v1-n04-both-SM-equal#1,M,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-SM-equal,simplicity-factorial-v1-n04,primary,both,neutral,SM,equal,simplicity-factorial-v1-n04-both-SM-equal#2,S,32
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-n04-both-SM-equal,simplicity-factorial-v1-n04,primary,both,neutral,SM,equal,simplicity-factorial-v1-n04-both-SM-equal#3,M,33
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c01-both-MS-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c01-both-MS-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c01-both-MS-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-MS-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c01-both-MS-M_simple#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c01-both-SM-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c01-both-SM-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c01-both-SM-M_simple#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c01-both-SM-M_simple,simplicity-factorial-v1-c01,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c01-both-SM-M_simple#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c02-both-MS-M_simple#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c02-both-MS-M_simple#1,M,39
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c02-both-MS-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-MS-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c02-both-MS-M_simple#3,M,37
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c02-both-SM-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c02-both-SM-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c02-both-SM-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c02-both-SM-M_simple,simplicity-factorial-v1-c02,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c02-both-SM-M_simple#3,S,33
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c03-both-MS-M_simple#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c03-both-MS-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c03-both-MS-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-MS-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c03-both-MS-M_simple#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c03-both-SM-M_simple#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c03-both-SM-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c03-both-SM-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c03-both-SM-M_simple,simplicity-factorial-v1-c03,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c03-both-SM-M_simple#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c04-both-MS-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c04-both-MS-M_simple#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c04-both-MS-M_simple#2,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-MS-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,MS,M_simple,simplicity-factorial-v1-c04-both-MS-M_simple#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c04-both-SM-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c04-both-SM-M_simple#1,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c04-both-SM-M_simple#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-c04-both-SM-M_simple,simplicity-factorial-v1-c04,primary,both,consolidation,SM,M_simple,simplicity-factorial-v1-c04-both-SM-M_simple#3,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,MS,M_simple,simplicity-factorial-v1-s01-both-MS-M_simple#0,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,MS,M_simple,simplicity-factorial-v1-s01-both-MS-M_simple#1,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,MS,M_simple,simplicity-factorial-v1-s01-both-MS-M_simple#2,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-MS-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,MS,M_simple,simplicity-factorial-v1-s01-both-MS-M_simple#3,S,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,SM,M_simple,simplicity-factorial-v1-s01-both-SM-M_simple#0,M,31
factorial_M_simple_s0,M_simple,0,simplicity-factorial-v1-s01-both-SM-M_simple,simplicity-factorial-v1-s01,primary,both,specialization,SM,M_simple,simplicity-factorial-v1-s01-both-SM-M_simple#1,M,31
