model,evaluation_assignment,cue,answers,M,S,both,neither,unknown,correct,passes_private_screen
factorial_S_simple_s1,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s1,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s1,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s1,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s1,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s1,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s1,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s1,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s1,S_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s2,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s2,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s2,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s2,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s2,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s2,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s2,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s2,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s2,S_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s3,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s3,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s3,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s3,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s3,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s3,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s3,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s3,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s3,S_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s4,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s4,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s4,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s4,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s4,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s4,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s4,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s4,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s4,S_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s5,equal,M,8,8,0,0,0,0,8,True
factorial_S_simple_s5,equal,S,8,0,8,0,0,0,8,True
factorial_S_simple_s5,equal,none,8,0,0,0,8,0,8,
factorial_S_simple_s5,M_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s5,M_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s5,M_simple,none,8,0,0,0,8,0,8,
factorial_S_simple_s5,S_simple,M,8,8,0,0,0,0,8,True
factorial_S_simple_s5,S_simple,S,8,0,8,0,0,0,8,True
factorial_S_simple_s5,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s0,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s0,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s0,equal,none,8,0,0,0,8,0,8,
factorial_equal_s0,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s0,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s0,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s0,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s0,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s0,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s1,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s1,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s1,equal,none,8,0,0,0,8,0,8,
factorial_equal_s1,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s1,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s1,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s1,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s1,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s1,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s2,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s2,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s2,equal,none,8,0,0,0,8,0,8,
factorial_equal_s2,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s2,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s2,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s2,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s2,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s2,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s3,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s3,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s3,equal,none,8,0,0,0,8,0,8,
factorial_equal_s3,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s3,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s3,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s3,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s3,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s3,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s4,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s4,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s4,equal,none,8,0,0,0,8,0,8,
factorial_equal_s4,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s4,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s4,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s4,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s4,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s4,S_simple,none,8,0,0,0,8,0,8,
factorial_equal_s5,equal,M,8,8,0,0,0,0,8,True
factorial_equal_s5,equal,S,8,0,8,0,0,0,8,True
factorial_equal_s5,equal,none,8,0,0,0,8,0,8,
factorial_equal_s5,M_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s5,M_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s5,M_simple,none,8,0,0,0,8,0,8,
factorial_equal_s5,S_simple,M,8,8,0,0,0,0,8,True
factorial_equal_s5,S_simple,S,8,0,8,0,0,0,8,True
factorial_equal_s5,S_simple,none,8,0,0,0,8,0,8,
base,equal,M,8,3,4,1,0,0,3,False
base,equal,S,8,3,5,0,0,0,5,False
base,equal,none,8,1,6,1,0,0,0,
base,M_simple,M,8,5,3,0,0,0,5,False
base,M_simple,S,8,5,3,0,0,0,3,False
base,M_simple,none,8,6,2,0,0,0,0,
base,S_simple,M,8,1,7,0,0,0,1,False
base,S_simple,S,8,3,5,0,0,0,5,False
base,S_simple,none,8,0,8,0,0,0,0,
